ID,Name,Sex,Age,Height,Weight,BestTime_100m,AverageTime_100m,training_hours_per_week,Medal
745,Daniel Skaaning,M,23,180,79,53.06,53.6,13.1,0
746,Clark Smith,M,21,206,90,47.6,48.29,34.0,1
747,Daniel Smith,M,25,190,83,53.14,53.25,24.1,0
748,Kierra Smith,F,22,150,57,57.71,60.455,14.7,0
749,Leah Smith,F,21,178,67,52.91,55.48666666666667,25.133333333333336,1
750,Olivia Smoliga,F,21,188,72,52.77,56.31,24.05,1
751,Glenn Andrew Mark Snyders,M,29,178,83,52.13,52.34,9.9,0
752,Alex Sobers,M,17,188,66,51.95,52.16,6.7,0
753,Eduardo Ignacio Solaeche Gmez,M,22,183,78,53.41,53.57,11.0,0
754,Jannah Sonnenschein,F,20,168,60,56.7,56.88,7.5,0
755,Mariama Djould Sow,F,16,165,65,55.74,57.95,15.0,0
756,Raphal Stacchiotti,M,24,183,78,49.04,50.93666666666667,19.666666666666668,0
757,Matthew Stanley,M,24,198,82,54.18,55.815,14.85,0
758,Viktor Vladimirovich Staselovich,M,22,188,83,52.19,52.67,13.7,0
759,Marrit Steenbergen,F,16,178,61,56.35,58.35,17.400000000000002,0
760,Jrdis Steinegger,F,33,172,58,57.6,58.06,16.1,0
761,"Daryna Viktorivna ""Dar'ia"" Stepaniuk",F,26,174,62,56.34,56.595,16.65,0
762,Velimir Stjepanovi,M,22,182,74,49.8,52.11333333333334,16.866666666666667,0
763,Marcin Tomasz Stolarski,M,20,187,79,47.05,50.44,15.3,0
764,Kyle Stolk,M,20,186,84,52.56,52.82,18.2,0
765,Jrmy Stravius,M,28,190,86,47.53,52.358000000000004,21.06,1
766,Albert Subirats Altes,M,29,190,85,52.09,53.02,16.45,0
767,Aleksandr Nikolayevich Sukhorukov,M,28,196,93,52.43,54.4,13.2,0
768,Faye Sultan Hussain,F,21,182,67,59.71,60.11,18.3,0
769,Sun Meichen,F,17,175,63,58.03,58.2,14.9,0
770,Sun Yang,M,24,198,89,46.53,49.23666666666667,27.366666666666664,1
771,Glenn N. R. Surgeloose,M,26,182,82,51.27,52.769999999999996,13.75,0
772,Glenn Victor Sutanto,M,26,183,74,54.26,54.27,14.0,0
773,Satomi Suzuki,F,25,168,62,57.16,59.555,11.899999999999999,0
774,Lucie Svcen,F,18,175,60,54.19,55.54,17.5,0
775,Lianna Catherine Swan,F,19,165,67,60.98,61.3,19.9,0
776,Jan witkowski,M,22,198,104,51.81,54.04333333333333,13.833333333333334,0
777,Sze Hang Yu,F,28,168,65,60.91,61.05,22.8,0
778,Lilina Szilgyi,F,19,176,63,59.89,61.3,13.3,0
779,Anna Sztankovics,F,20,177,63,61.32,62.769999999999996,17.05,0
780,Krisztin Takcs,M,30,186,85,48.77,51.135,26.9,0
781,Miho Takahashi,F,23,161,56,58.73,59.44,13.2,0
782,Darya Talanova,F,20,168,56,56.23,56.52,13.3,0
783,"Bradley Edward ""Brad"" Tandy",M,25,191,86,54.63,54.79,7.1,0
784,Tang Yi,F,23,178,70,58.78,59.3,14.0,0
785,Felipe Tapa Salinas,M,21,176,70,51.48,51.69,25.2,0
786,Grigory Arkadyevich Tarasevich,M,21,190,75,52.73,54.65,15.7,0
787,Ane Tavar,M,21,187,79,52.84,54.01,17.2,0
788,Alicja Maria Tchrz,F,23,176,68,55.07,57.76333333333333,19.5,0
789,Talita Marie Te Flan,F,21,176,63,57.49,58.06,18.9,0
790,dm Tams Telegdy,M,20,194,77,52.78,53.83,13.5,0
791,Miho Teramura,F,21,165,53,60.32,60.86,13.7,0
792,Jovana Terzi,F,17,165,54,57.45,58.18,17.7,0
793,Thint Myaat,M,14,160,52,51.69,51.97,15.9,0
794,Noemie Thomas,F,20,165,59,59.61,60.709999999999994,22.200000000000003,0
795,Markus Thormeyer,M,18,195,84,52.7,54.17,25.5,0
796,Brianna Throssell,F,20,175,61,60.95,63.55,14.3,0
797,Pieter Timmers,M,28,200,89,48.42,53.46666666666667,17.066666666666666,1
798,Giedrius Titenis,M,27,193,95,50.47,54.11333333333334,16.7,0
799,Renzo Jair Tjon A Joe,M,21,193,80,54.03,54.94,17.1,0
800,Mario Todorovi,M,27,186,80,49.74,51.64,8.3,0
801,Andrea Toniato,M,25,182,82,49.01,50.305,14.8,0
802,Rechael Tonjor,F,24,168,57,60.41,60.81,21.4,0
803,Dalia Masiel Trrez Zamora,F,26,175,63,62.38,62.87,8.8,0
804,Karen Milenka Torrez Guzman,F,24,165,58,60.42,60.54,6.2,0
805,Yakov Yan Toumarkin Zhuravlev,M,24,192,90,51.1,52.14,20.7,0
806,Oumar Tour,M,20,159,57,50.63,51.04,19.9,0
807,Alexandra Touretski,F,21,170,58,57.12,58.775,19.35,0
808,Kira Toussaint,F,22,174,72,58.49,58.97,11.9,0
809,Norbert Trandafir,M,28,190,85,53.42,54.519999999999996,12.600000000000001,0
810,Luisa Trombetti,F,22,173,67,54.63,57.894999999999996,14.75,0
811,Nikita Dmitriyevich Tsmyg,M,19,190,80,51.88,53.68,18.0,0
812,Yevgeny Nikolayevich Tsurkin,M,25,182,77,51.96,53.775,22.15,0
813,Federico Turrini,M,29,193,87,54.73,55.22,12.5,0
814,Chlo Marianne  Tutton,F,20,169,60,56.26,58.73666666666666,18.53333333333333,0
815,Dustin Tynes,M,20,185,75,53.2,54.35,11.4,0
816,Anastasiya Tyurina,F,14,165,50,58.26,59.4,16.7,0
817,Miki Uchida,F,21,173,62,58.73,61.123333333333335,13.366666666666667,0
818,Maria Ugolkova,F,27,173,65,58.63,59.48666666666666,13.766666666666666,0
819,Aleksandra Urbaczyk-Olejarczyk,F,28,172,62,56.32,57.375,20.4,0
820,Darya Konstantinovna Ustinova,F,17,183,70,54.83,57.76666666666667,17.166666666666668,0
821,Nida Eliz stnda,F,19,179,69,61.09,61.49,17.4,0
822,Elsie Uwamahoro,F,27,165,56,56.28,56.35,17.1,0
823,Miguel Leite Valente,M,23,176,70,49.33,50.29,7.4,0
824,Jessica Vall Montero,F,27,163,52,57.73,58.730000000000004,17.200000000000003,0
825,Martina Eva van Berkel,F,27,166,54,56.5,58.20333333333334,16.9,0
826,Cameron van der Burgh,M,28,185,85,48.12,52.72666666666667,19.7,1
827,Maud van der Meer,F,24,180,64,62.06,62.14,15.4,0
828,Chantal Jean Van Landeghem,F,22,180,77,53.2,57.88,21.775,1
829,Evan Van Moerkerke,M,22,205,110,51.78,51.85,11.5,0
830,Sharon van Rouwendaal,F,22,173,65,52.9,56.575,21.65,1
831,Arianna Fritzallen Vanderpool-Wallace,F,26,168,61,56.39,57.525,9.7,0
832,Federico Vanelli,M,25,183,82,56.8,58.11,21.5,0
833,Emmanuel Vanluchene,M,23,179,71,49.63,51.75333333333333,19.333333333333332,0
834,Ricardo David Vargas Jacobo,M,18,180,79,49.43,50.18,18.3,0
835,Andreas Vazaios,M,22,190,85,54.7,55.25,14.6,0
836,Lus Emigdio Vega Torres,M,17,179,69,56.29,56.96,15.8,0
837,Joeri Jordi Verlinden,M,28,181,75,52.82,53.44,18.1,0
838,Esmee Vermeulen,F,20,180,64,54.35,54.37,17.2,0
839,David Verraszt,M,27,180,78,50.07,50.11,8.5,0
840,Evelyn Verraszt,F,27,173,62,58.59,59.535,14.0,0
841,Sebastiaan Clemens Verschuren,M,27,192,84,52.11,54.053333333333335,19.53333333333333,0
842,Adam Viktora,M,19,188,94,51.95,53.29,12.4,0
843,Mara Vilas Vidal,F,20,168,64,52.41,57.205,20.4,0
844,Erika Villacija Garca,F,32,177,61,59.38,61.47,15.1,0
845,Danielle Villars,F,23,178,62,58.19,59.47,13.6,0
846,Bradley Vincent,M,24,195,89,54.21,55.51,11.8,0
847,Florian Vogel,M,21,180,70,51.79,52.685,14.850000000000001,0
848,Dana Whitney Vollmer (-Grant),F,28,185,68,53.48,54.830000000000005,31.7,1
849,Christian vom Lehn,M,24,190,78,51.85,53.815,15.05,0
850,Kristel Vourna,F,24,174,61,65.79,66.05,14.5,0
851,Tjaa Vozel,F,22,171,62,61.87,62.25,21.7,0
852,"Christopher James ""Chris"" Walker-Hebborn",M,26,184,84,51.69,53.58,13.6,1
853,"Daniel ""Dan"" Wallace",M,23,188,80,47.2,52.185,21.2,1
854,Wang Shijia,F,22,174,63,58.64,59.07,23.6,0
855,Wang Shun,M,22,191,74,48.13,52.379999999999995,23.35,1
856,Wang Xueer,F,18,178,67,57.35,58.84,17.6,0
857,Ippei Watanabe,M,19,193,76,49.16,52.465,14.3,0
858,Kanako Watanabe,F,19,167,60,57.87,59.03,13.899999999999999,0
859,Marie Wattel,F,19,181,71,56.95,57.59,14.2,0
860,Michelle Weber,F,19,166,63,63.43,63.8,10.8,0
861,Ferry Weertman,M,24,189,86,47.55,48.14,28.0,1
862,Richard Weinberger,M,26,184,72,52.44,53.08,11.7,0
863,Amanda Jo Weir (-Davis),F,30,188,77,54.1,54.45,29.7,1
864,Abbey Weitzeil,F,19,178,68,52.53,55.57,22.2,1
865,Florian Wellbrock,M,18,185,70,54.39,55.85,26.5,0
866,Alexandra Nathalie Wenk,F,21,180,63,56.07,59.42333333333334,15.799999999999999,0
867,Magnus Westermann,M,21,194,94,52.99,54.12,13.2,0
868,Damian Matthias Armin Wierling,M,20,196,74,50.91,53.3175,17.625,0
869,Jordan Wilimovsky,M,22,175,68,52.06,53.870000000000005,15.799999999999999,0
870,Katarzyna Maria Wilk,F,24,178,64,60.53,61.96,12.1,0
871,Michelle Williams (-Toro),F,25,175,67,52.94,56.34,25.25,1
872,Andrew Willis,M,25,188,85,52.39,53.31,17.5,0
873,Aimee Willmott,F,23,171,66,57.51,60.065,11.3,0
874,"Madison ""Madi"" Wilson",F,22,179,61,52.62,55.21,27.899999999999995,1
875,Wojciech Wojdak,M,21,186,84,52.87,54.82,17.9,0
876,Philipp Wolf,M,23,196,96,52.76,53.02,9.4,0
877,Won Young-Jun,M,18,187,83,55.15,56.03,14.6,0
878,Kelsi Worrell,F,22,180,75,53.52,56.53,21.5,1
879,Wu Yuhang,M,19,178,72,50.94,52.56,15.8,0
880,"Timothy ""Tim"" Wynter",M,20,188,66,52.4,53.29,20.0,0
881,Filip Wypych,M,25,183,75,49.56,50.28,9.3,0
882,Xin Xin,F,19,169,61,63.55,63.86,14.9,0
883,Xu Jiayu,M,20,187,78,48.76,52.14333333333334,21.3,1
884,Misaki Yamaguchi,F,26,165,60,60.54,60.88,21.4,0
885,Yan Zibei,M,20,190,75,52.24,52.54,13.4,0
886,Ye Shiwen,F,20,173,64,55.52,57.04,15.05,0
887,Yuliya Andreyevna Yefimova,F,24,178,64,53.05,56.10333333333333,23.7,1
888,Yessy Venisia Yosaputra,F,21,167,62,61.52,61.88,12.3,0
889,Yu Hexin,M,20,194,87,51.58,54.693333333333335,19.0,0
890,Yu Jingyao,F,17,178,63,60.02,60.18,13.9,0
891,Filip Zaborowski,M,22,188,77,50.42,50.69,18.3,0
892,Joanna Zachoszcz,F,23,177,66,56.54,58.09,19.1,0
893,Lisa Zaiser,F,21,174,63,56.34,57.42,19.1,0
894,frica Zamorano Sanz,F,18,170,58,55.72,57.69,13.866666666666667,0
895,Vsevolod Vladimirovich Zanko,M,21,190,85,53.08,53.46,11.3,0
896,Barbora Zvadov,F,23,177,68,57.45,58.3,13.25,0
897,Robert bogar,M,27,183,72,54.66,55.06,12.5,0
898,Rita Zeqiri,F,20,165,55,56.38,57.32,20.3,0
899,Daryna Yurivna Zevina,F,21,178,67,52.48,52.76,19.0,0
900,Zhang Qibin,M,22,185,85,55.61,55.8,12.3,0
901,Zhang Xinyu,F,19,166,60,57.51,58.905,20.35,0
902,Zhang Yufei,F,18,174,57,59.49,59.73,17.2,0
903,Zhang Yuhan,F,21,173,60,59.27,60.18,13.299999999999999,0
904,Lum Zhaveli,M,26,194,88,52.27,52.65,18.1,0
905,Zhou Min,F,18,172,64,57.74,59.185,14.2,0
906,Zhou Yilin,F,23,175,63,58.06,58.18,17.5,0
907,Zhu Menghui,F,17,177,62,57.78,59.620000000000005,11.466666666666667,0
908,Carlotta Zofkova Costa de Saint Genix de Beauregard,F,23,183,74,58.28,58.81,13.2,0
909,Zu Lijun,M,26,188,87,52.3,52.97,11.2,0
910,Anastasiya Valeryevna Zuyeva-Fesikova,F,26,182,71,58.34,60.673333333333325,17.766666666666666,0
